storm,Gen3_over_Gen1_runtime,Gen3_over_Gen2_runtime,Gen3_minus_Gen1_RMSE_m,Gen3_minus_Gen2_RMSE_m,Gen3_minus_Gen1_Hs_RMSE_m
ike,1.4402537892139584,1.5200892857142858,0.007000000000000006,0.0010000000000000009,-0.09799999999999998
ida,1.7044125465178097,1.7634763476347635,0.0,0.0009999999999999454,0.02100000000000002
